county,candidate,votes,precinct,office,district,party
Pasco,Harris,117424,ALL,President of the US,,DEM
Pasco,Oliver,1014,ALL,President of the US,,LIB
Pasco,DelaCruz,415,ALL,President of the US,,PSL
Pasco,Terry,173,ALL,President of the US,,CPF
Pasco,Sonski,241,ALL,President of the US,,ASP
Pasco,Stein,1389,ALL,President of the US,,GRN
Pasco,Ayyadurai,8,ALL,President of the US,,WRI
Pasco,Fox,0,ALL,President of the US,,WRI
Pinellas,Trump,269447,ALL,President of the US,,REP
Pinellas,Harris,242385,ALL,President of the US,,DEM
Pinellas,Oliver,1876,ALL,President of the US,,LIB
Pinellas,DelaCruz,493,ALL,President of the US,,PSL
Pinellas,Terry,232,ALL,President of the US,,CPF
Pinellas,Sonski,340,ALL,President of the US,,ASP
Pinellas,Stein,2192,ALL,President of the US,,GRN
Pinellas,Ayyadurai,16,ALL,President of the US,,WRI
Pinellas,Fox,0,ALL,President of the US,,WRI
Polk,Trump,209030,ALL,President of the US,,REP
Polk,Harris,136848,ALL,President of the US,,DEM
Polk,Oliver,1017,ALL,President of the US,,LIB
Polk,DelaCruz,450,ALL,President of the US,,PSL
Polk,Terry,252,ALL,President of the US,,CPF
Polk,Sonski,251,ALL,President of the US,,ASP
Polk,Stein,1026,ALL,President of the US,,GRN
Polk,Ayyadurai,9,ALL,President of the US,,WRI
Polk,Fox,0,ALL,President of the US,,WRI
Putnam,Trump,26699,ALL,President of the US,,REP
Putnam,Harris,9349,ALL,President of the US,,DEM
Putnam,Oliver,86,ALL,President of the US,,LIB
Putnam,DelaCruz,33,ALL,President of the US,,PSL
Putnam,Terry,27,ALL,President of the US,,CPF
Putnam,Sonski,10,ALL,President of the US,,ASP
Putnam,Stein,62,ALL,President of the US,,GRN
Putnam,Ayyadurai,0,ALL,President of the US,,WRI
Putnam,Fox,0,ALL,President of the US,,WRI
Santa Rosa,Trump,84286,ALL,President of the US,,REP
Santa Rosa,Harris,27004,ALL,President of the US,,DEM
Santa Rosa,Oliver,535,ALL,President of the US,,LIB
Santa Rosa,DelaCruz,86,ALL,President of the US,,PSL
Santa Rosa,Terry,63,ALL,President of the US,,CPF
Santa Rosa,Sonski,92,ALL,President of the US,,ASP
Santa Rosa,Stein,298,ALL,President of the US,,GRN
Santa Rosa,Ayyadurai,1,ALL,President of the US,,WRI
Santa Rosa,Fox,0,ALL,President of the US,,WRI
Sarasota,Trump,163188,ALL,President of the US,,REP
Sarasota,Harris,112593,ALL,President of the US,,DEM
Sarasota,Oliver,808,ALL,President of the US,,LIB
Sarasota,DelaCruz,169,ALL,President of the US,,PSL
Sarasota,Terry,106,ALL,President of the US,,CPF
Sarasota,Sonski,135,ALL,President of the US,,ASP
Sarasota,Stein,749,ALL,President of the US,,GRN
Sarasota,Ayyadurai,8,ALL,President of the US,,WRI
Sarasota,Fox,1,ALL,President of the US,,WRI
Seminole,Trump,129704,ALL,President of the US,,REP
Seminole,Harris,120647,ALL,President of the US,,DEM
Seminole,Oliver,910,ALL,President of the US,,LIB
Seminole,DelaCruz,294,ALL,President of the US,,PSL
Seminole,Terry,125,ALL,President of the US,,CPF
Seminole,Sonski,273,ALL,President of the US,,ASP
Seminole,Stein,1663,ALL,President of the US,,GRN
Seminole,Ayyadurai,0,ALL,President of the US,,WRI
Seminole,Fox,0,ALL,President of the US,,WRI
St. Johns,Trump,128728,ALL,President of the US,,REP
St. Johns,Harris,66828,ALL,President of the US,,DEM
St. Johns,Oliver,748,ALL,President of the US,,LIB
St. Johns,DelaCruz,148,ALL,President of the US,,PSL
St. Johns,Terry,76,ALL,President of the US,,CPF
St. Johns,Sonski,143,ALL,President of the US,,ASP
St. Johns,Stein,713,ALL,President of the US,,GRN
St. Johns,Ayyadurai,5,ALL,President of the US,,WRI
St. Johns,Fox,0,ALL,President of the US,,WRI
St. Lucie,Trump,100276,ALL,President of the US,,REP
St. Lucie,Harris,83483,ALL,President of the US,,DEM
St. Lucie,Oliver,378,ALL,President of the US,,LIB
St. Lucie,DelaCruz,233,ALL,President of the US,,PSL
St. Lucie,Terry,88,ALL,President of the US,,CPF
St. Lucie,Sonski,93,ALL,President of the US,,ASP
