county,candidate,votes,precinct,office,district,party
CLAY,Cuellar,0,ALL,President of the US,,OTH
CLAY,DeLaCruz,0,ALL,President of the US,,OTH
CLAY,Fox,0,ALL,President of the US,,OTH
CLAY,Sonski,1,ALL,President of the US,,OTH
CLAY,West,0,ALL,President of the US,,OTH
COCHRAN,Trump,736,ALL,President of the US,,REP
COCHRAN,Harris,147,ALL,President of the US,,DEM
COCHRAN,Oliver,9,ALL,President of the US,,LIB
COCHRAN,Stein,1,ALL,President of the US,,GRN
COCHRAN,Ayyadurai,0,ALL,President of the US,,OTH
COCHRAN,Cuellar,0,ALL,President of the US,,OTH
COCHRAN,DeLaCruz,0,ALL,President of the US,,OTH
COCHRAN,Fox,0,ALL,President of the US,,OTH
COCHRAN,Sonski,0,ALL,President of the US,,OTH
COCHRAN,West,0,ALL,President of the US,,OTH
COKE,Trump,1620,ALL,President of the US,,REP
COKE,Harris,179,ALL,President of the US,,DEM
COKE,Oliver,9,ALL,President of the US,,LIB
COKE,Stein,3,ALL,President of the US,,GRN
COKE,Ayyadurai,0,ALL,President of the US,,OTH
COKE,Cuellar,0,ALL,President of the US,,OTH
COKE,DeLaCruz,0,ALL,President of the US,,OTH
COKE,Fox,0,ALL,President of the US,,OTH
COKE,Sonski,0,ALL,President of the US,,OTH
COKE,West,0,ALL,President of the US,,OTH
COLEMAN,Trump,3711,ALL,President of the US,,REP
COLEMAN,Harris,428,ALL,President of the US,,DEM
COLEMAN,Oliver,11,ALL,President of the US,,LIB
COLEMAN,Stein,4,ALL,President of the US,,GRN
COLEMAN,Ayyadurai,1,ALL,President of the US,,OTH
COLEMAN,Cuellar,0,ALL,President of the US,,OTH
COLEMAN,DeLaCruz,0,ALL,President of the US,,OTH
COLEMAN,Fox,0,ALL,President of the US,,OTH
COLEMAN,Sonski,0,ALL,President of the US,,OTH
COLEMAN,West,0,ALL,President of the US,,OTH
COLLIN,Trump,278427,ALL,President of the US,,REP
COLLIN,Harris,220269,ALL,President of the US,,DEM
COLLIN,Oliver,3490,ALL,President of the US,,LIB
COLLIN,Stein,9962,ALL,President of the US,,GRN
COLLIN,Ayyadurai,30,ALL,President of the US,,OTH
COLLIN,Cuellar,6,ALL,President of the US,,OTH
COLLIN,DeLaCruz,73,ALL,President of the US,,OTH
COLLIN,Fox,0,ALL,President of the US,,OTH
COLLIN,Sonski,215,ALL,President of the US,,OTH
COLLIN,West,85,ALL,President of the US,,OTH
COLLINGSWORTH,Trump,1066,ALL,President of the US,,REP
COLLINGSWORTH,Harris,135,ALL,President of the US,,DEM
COLLINGSWORTH,Oliver,0,ALL,President of the US,,LIB
COLLINGSWORTH,Stein,0,ALL,President of the US,,GRN
COLLINGSWORTH,Ayyadurai,0,ALL,President of the US,,OTH
COLLINGSWORTH,Cuellar,0,ALL,President of the US,,OTH
COLLINGSWORTH,DeLaCruz,0,ALL,President of the US,,OTH
COLLINGSWORTH,Fox,0,ALL,President of the US,,OTH
COLLINGSWORTH,Sonski,0,ALL,President of the US,,OTH
COLLINGSWORTH,West,0,ALL,President of the US,,OTH
COLORADO,Trump,7819,ALL,President of the US,,REP
COLORADO,Harris,2102,ALL,President of the US,,DEM
COLORADO,Oliver,45,ALL,President of the US,,LIB
COLORADO,Stein,17,ALL,President of the US,,GRN
COLORADO,Ayyadurai,0,ALL,President of the US,,OTH
COLORADO,Cuellar,0,ALL,President of the US,,OTH
COLORADO,DeLaCruz,0,ALL,President of the US,,OTH
COLORADO,Fox,0,ALL,President of the US,,OTH
COLORADO,Sonski,1,ALL,President of the US,,OTH
COLORADO,West,0,ALL,President of the US,,OTH
COMAL,Trump,74588,ALL,President of the US,,REP
COMAL,Harris,27548,ALL,President of the US,,DEM
COMAL,Oliver,697,ALL,President of the US,,LIB
COMAL,Stein,330,ALL,President of the US,,GRN
COMAL,Ayyadurai,5,ALL,President of the US,,OTH
COMAL,Cuellar,0,ALL,President of the US,,OTH
COMAL,DeLaCruz,4,ALL,President of the US,,OTH
COMAL,Fox,0,ALL,President of the US,,OTH
COMAL,Sonski,16,ALL,President of the US,,OTH
COMAL,West,0,ALL,President of the US,,OTH
COMANCHE,Trump,5679,ALL,President of the US,,REP
COMANCHE,Harris,834,ALL,President of the US,,DEM
COMANCHE,Oliver,25,ALL,President of the US,,LIB
COMANCHE,Stein,6,ALL,President of the US,,GRN
